,Id,Model_Name,Model_Year,Brand_Name,Delaer_Name,Certified,Certified_Group,Deal,Mileage,Rating,Rating_Group,Review,Price,Price_Group
0,0,2024 Hyundai Tucson Limited,2024,Hyundai,Suntrup Hyundai South,New,New,Other Deal,0,0.0,Bad,390.0,40280,Low Price
1,1,2020 BMW X5 xDrive40i,2020,BMW,Ed Napleton Acura Kia,Used,Used,Good Deal,44710,3.6,Three Star,608.0,39894,Low Price
2,2,2021 Acura RDX Advance Package,2021,Acura,Ed Napleton Acura Kia,Acura Certified,Brand_New,Good Deal,25380,3.6,Three Star,608.0,38495,Low Price
3,3,2021 Kia Sorento SX,2021,Kia,Ed Napleton Acura Kia,Kia Certified,Brand_New,Good Deal,26568,3.6,Three Star,608.0,33464,Low Price
4,4,2020 Lincoln Aviator Black Label AWD,2020,Lincoln,Ed Napleton Acura Kia,Used,Used,Good Deal,49383,3.6,Three Star,608.0,45999,Low Price
5,5,2021 Ford Bronco Outer Banks Advanced,2021,Ford,Ed Napleton Acura Kia,Used,Used,Good Deal,28532,3.6,Three Star,608.0,41994,Low Price
6,6,2017 Ford Focus RS Base,2017,Ford,Ed Napleton Acura Kia,Used,Used,Great Deal,67813,3.6,Three Star,608.0,27692,Low Price
7,7,2016 Ford Shelby GT350 Base,2016,Ford,Ed Napleton Acura Kia,Used,Used,Great Deal,33703,3.6,Three Star,608.0,46995,Low Price
8,8,2020 Kia Telluride EX,2020,Kia,Ed Napleton Acura Kia,Kia Certified,Brand_New,Good Deal,45055,3.6,Three Star,608.0,34495,Low Price
9,9,2020 Audi A4 45 Premium,2020,Audi,Ed Napleton Acura Kia,Used,Used,Good Deal,29867,3.6,Three Star,608.0,27997,Low Price
10,10,2020 BMW 540 i xDrive,2020,BMW,Ed Napleton Acura Kia,Used,Used,Great Deal,24825,3.6,Three Star,608.0,38997,Low Price
11,11,2018 Acura MDX 3.5L w/Technology Package,2018,Acura,Ed Napleton Acura Kia,Acura Certified,Brand_New,Good Deal,59496,3.6,Three Star,608.0,27961,Low Price
12,12,2016 Acura RDX Base,2016,Acura,Ed Napleton Acura Kia,Used,Used,Good Deal,132643,3.6,Three Star,608.0,14787,Low Price
13,13,2022 Honda Accord Hybrid Touring,2022,Honda,Ed Napleton Acura Kia,Used,Used,Great Deal,25209,3.6,Three Star,608.0,30997,Low Price
14,14,2022 Kia EV6 GT-Line,2022,Kia,Ed Napleton Acura Kia,Kia Certified,Brand_New,Good Deal,12259,3.6,Three Star,608.0,39994,Low Price
15,15,2020 Acura ILX Premium Package,2020,Acura,Ed Napleton Acura Kia,Acura Certified,Brand_New,Great Deal,32095,3.6,Three Star,608.0,22996,Low Price
16,16,2020 Toyota Camry Hybrid XLE,2020,Toyota,Oakbrook Toyota in Westmont,Toyota Certified,Brand_New,Good Deal,35300,4.5,Four Star,2531.0,29805,Low Price
17,17,2021 Hyundai Palisade Calligraphy,2021,Hyundai,Oakbrook Toyota in Westmont,Used,Used,Good Deal,22227,4.5,Four Star,2531.0,42979,Low Price
18,18,2021 Toyota Highlander Hybrid Limited,2021,Toyota,Oakbrook Toyota in Westmont,Toyota Certified,Brand_New,Good Deal,23808,4.5,Four Star,2531.0,47479,Low Price
19,19,2020 Lexus UX 250h Base,2020,Lexus,Oakbrook Toyota in Westmont,Used,Used,Good Deal,43855,4.5,Four Star,2531.0,29999,Low Price
20,20,2022 Toyota Tundra SR5,2022,Toyota,Oakbrook Toyota in Westmont,Used,Used,Good Deal,2475,4.5,Four Star,2531.0,49999,Low Price
21,21,2023 Nissan Leaf SV PLUS,2023,Nissan,Ken Ganley Nissan Medina,New,New,Other Deal,0,0.0,Bad,390.0,36906,Low Price
22,22,2020 Lexus LS 500 Base,2020,Lexus,McGrath Lexus of Westmont,Used,Used,Good Deal,34840,4.9,Four Star,2074.0,59790,Medium Price
23,23,2019 Lexus LX 570 570,2019,Lexus,McGrath Lexus of Westmont,Used,Used,Good Deal,53290,4.9,Four Star,2074.0,67390,Medium Price
24,24,2019 Lexus LS 500 500,2019,Lexus,McGrath Lexus of Westmont,Used,Used,Good Deal,33050,4.9,Four Star,2074.0,54490,Medium Price
25,25,2017 BMW 740 i xDrive,2017,BMW,McGrath Lexus of Westmont,Used,Used,Good Deal,72054,4.9,Four Star,2074.0,28410,Low Price
26,26,2010 Chevrolet Corvette ZR-1,2010,Chevrolet,Midwest Car Connect,Used,Used,Fair Deal,11001,0.0,Bad,56.0,92995,Medium Price
27,27,2021 Audi SQ8 4.0T quattro Premium Plus,2021,Audi,Audi Westmont,Audi Certified,Brand_New,Great Deal,23595,4.7,Four Star,1586.0,78524,Medium Price
28,28,2020 Audi S5 3.0T Premium Plus,2020,Audi,Audi Westmont,Audi Certified,Brand_New,Good Deal,11542,4.7,Four Star,1586.0,47024,Low Price
29,29,2020 Audi A6 55 Premium Plus,2020,Audi,Audi Westmont,Used,Used,Good Deal,27859,4.7,Four Star,1586.0,36000,Low Price
30,30,2018 Ford Explorer Platinum,2018,Ford,Audi Westmont,Used,Used,Great Deal,62824,4.7,Four Star,1586.0,29400,Low Price
31,31,2020 BMW M340 i xDrive,2020,BMW,MINI of Glencoe North Shore,Used,Used,Great Deal,43382,4.8,Four Star,268.0,42495,Low Price
