,certified,model,mileage,price,monthly,dealer,review,rating
0,New,2024 Hyundai Tucson Limited,N/A,"$40,280",Hot Car,"
Suntrup Hyundai South
",N/A,N/A
1,Used,2020 BMW X5 xDrive40i,"44,710 mi.","$39,894",Good Deal | $607 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
2,Acura Certified,2021 Acura RDX Advance Package,"25,380 mi.","$38,495",Good Deal,"
Ed Napleton Acura Kia
",(608 reviews),3.6
3,Kia Certified,2021 Kia Sorento SX,"26,568 mi.","$33,464",Good Deal | $503 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
4,Used,2020 Lincoln Aviator Black Label AWD,"49,383 mi.","$45,999",Good Deal | $619 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
5,Used,2021 Ford Bronco Outer Banks Advanced,"28,532 mi.","$41,994",Good Deal,"
Ed Napleton Acura Kia
",(608 reviews),3.6
6,Used,2017 Ford Focus RS Base,"67,813 mi.","$27,692","Great Deal | $2,839 under","
Ed Napleton Acura Kia
",(608 reviews),3.6
7,Used,2016 Ford Shelby GT350 Base,"33,703 mi.","$46,995","Great Deal | $4,408 under","
Ed Napleton Acura Kia
",(608 reviews),3.6
8,Kia Certified,2020 Kia Telluride EX,"45,055 mi.","$34,495",Good Deal,"
Ed Napleton Acura Kia
",(608 reviews),3.6
9,Used,2020 Audi A4 45 Premium,"29,867 mi.","$27,997",Good Deal | $255 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
10,Used,2020 BMW 540 i xDrive,"24,825 mi.","$38,997","Great Deal | $4,583 under","
Ed Napleton Acura Kia
",(608 reviews),3.6
11,Acura Certified,2018 Acura MDX 3.5L w/Technology Package,"59,496 mi.","$27,961",Good Deal | $462 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
12,Used,2016 Acura RDX Base,"132,643 mi.","$14,787",Good Deal | $195 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
13,Used,2022 Honda Accord Hybrid Touring,"25,209 mi.","$30,997",Great Deal | $592 under,"
Ed Napleton Acura Kia
",(608 reviews),3.6
14,Kia Certified,2022 Kia EV6 GT-Line,"12,259 mi.","$39,994",Good Deal,"
Ed Napleton Acura Kia
",(608 reviews),3.6
15,Acura Certified,2020 Acura ILX Premium Package,"32,095 mi.","$22,996","Great Deal | $1,264 under","
Ed Napleton Acura Kia
",(608 reviews),3.6
16,Toyota Certified,2020 Toyota Camry Hybrid XLE,"35,300 mi.","$29,805",Good Deal,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
17,Used,2021 Hyundai Palisade Calligraphy,"22,227 mi.","$42,979",Good Deal | $245 under,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
18,Toyota Certified,2021 Toyota Highlander Hybrid Limited,"23,808 mi.","$47,479",Good Deal,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
19,Used,2020 Lexus UX 250h Base,"43,855 mi.","$29,999",Good Deal,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
20,Used,2022 Toyota Tundra SR5,"2,475 mi.","$49,999",Good Deal,"
Oakbrook Toyota in Westmont
","(2,531 reviews)",4.5
21,New,2023 Nissan Leaf SV PLUS,N/A,"$36,906",N/A,"
Ken Ganley Nissan Medina
",N/A,N/A
